date,home_away,opponent,adelphi_score,opponent_score,result,attendance,team,year,game_of_the_season
2/8/2022,home,LE MOYNE,45,46,L,70,womens basketball,2021,21
2/12/2022,away,Saint Rose,62,56,W,75,womens basketball,2021,22
2/19/2022,home,NEW HAVEN,52,49,W,124,womens basketball,2021,23
2/26/2022,home,FRANKLIN PIERCE,58,61,L,214,womens basketball,2021,24
11/11/2022,home,POST,49,59,L,224,womens basketball,2022,1
11/16/2022,away,New Haven,54,75,L,123,womens basketball,2022,2
11/19/2022,away,St. Anselm,70,65,W,301,womens basketball,2022,3
11/22/2022,home,LE MOYNE,70,64,W,145,womens basketball,2022,4
11/27/2022,home,BRIDGEPORT,86,67,W,156,womens basketball,2022,5
11/30/2022,away,Southern N.H.,74,79,L,425,womens basketball,2022,6
12/6/2022,home,SOUTHERN CONN. ST.,66,80,L,78,womens basketball,2022,7
12/10/2022,away,Bentley,59,57,W,525,womens basketball,2022,8
12/14/2022,home,MOLLOY,66,55,W,102,womens basketball,2022,9
12/19/2022,away,Bloomfield,77,60,W,98,womens basketball,2022,10
12/31/2022,away,Staten Island,60,68,L,125,womens basketball,2022,11
1/4/2023,home,PACE,54,70,L,72,womens basketball,2022,12
1/7/2023,away,Saint Rose,71,81,L,75,womens basketball,2022,13
1/10/2023,home,FRANKLIN PIERCE,75,63,W,63,womens basketball,2022,14
1/14/2023,away,American Int'l,60,62,L,0,womens basketball,2022,15
1/18/2023,home,ASSUMPTION,52,57,L,93,womens basketball,2022,16
1/21/2023,away,Saint Michael's,65,56,W,318,womens basketball,2022,17
1/24/2023,home,NEW HAVEN,58,67,L,188,womens basketball,2022,18
1/28/2023,home,ST. ANSELM,80,75,W,145,womens basketball,2022,19
2/1/2023,away,Le Moyne,64,76,L,376,womens basketball,2022,20
2/4/2023,home,SOUTHERN N.H.,69,73,L,224,womens basketball,2022,21
2/7/2023,home,BENTLEY,70,74,L,178,womens basketball,2022,22
2/11/2023,away,Southern Conn. St.,54,67,L,142,womens basketball,2022,23
2/15/2023,away,Pace,51,75,L,225,womens basketball,2022,24
2/21/2023,home,SAINT ROSE,79,50,W,114,womens basketball,2022,25
2/24/2023,away,Southern Conn. St.,66,72,L,182,womens basketball,2022,26
